xflr5 v6.47

Kea Atmos
T4-2.0°-VLM2
QInf  =   20.000000 m/s
Alpha =    2.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.834569
Cy    =   -0.000000
Cd    =    0.023658     ICd   =    0.012528     PCd   =    0.011131
Cl   = 3.47646e-17
Cm   =   -0.124199
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.600947     YCP   =   -0.000000     ZCP   =    0.096805  
XNP   =    0.000000
Bending =   12.813120

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
  63       4.640e-01      -2.646e+00       2.295e-01          -0.263           0.151           0.953       8.954e-04          0.2024
  64       4.533e-01      -2.646e+00       2.265e-01          -0.345           0.147           0.927       3.129e-04         -0.6230
Strip 6
  65       7.489e-01      -2.580e+00       2.148e-01           0.284           0.150           0.947       3.063e-04          0.4357
  66       7.424e-01      -2.580e+00       2.166e-01           0.248           0.152           0.957       8.918e-04          0.6628
  67       7.277e-01      -2.579e+00       2.199e-01           0.178           0.154           0.972       1.406e-03          0.7210
  68       7.055e-01      -2.579e+00       2.236e-01           0.132           0.155           0.979       1.839e-03          0.7755
  69       6.772e-01      -2.578e+00       2.270e-01           0.091           0.156           0.984       2.165e-03          0.8306
  70       6.444e-01      -2.578e+00       2.295e-01           0.043           0.156           0.987       2.366e-03          0.8321
  71       6.090e-01      -2.578e+00       2.307e-01          -0.000           0.156           0.988       2.435e-03          0.8072
  72       5.731e-01      -2.578e+00       2.303e-01          -0.036           0.156           0.987       2.366e-03          0.7967
  73       5.388e-01      -2.578e+00       2.288e-01          -0.078           0.156           0.985       2.163e-03          0.7665
  74       5.080e-01      -2.578e+00       2.261e-01          -0.124           0.155           0.980       1.837e-03          0.7126
  75       4.826e-01      -2.579e+00       2.226e-01          -0.182           0.154           0.971       1.407e-03          0.6013
  76       4.640e-01      -2.579e+00       2.189e-01          -0.263           0.151           0.953       8.954e-04          0.2754
  77       4.533e-01      -2.580e+00       2.160e-01          -0.345           0.147           0.927       3.129e-04         -0.4574
Strip 7
  78       7.489e-01      -2.513e+00       2.043e-01           0.284           0.150           0.947       3.063e-04          0.4387
  79       7.424e-01      -2.513e+00       2.060e-01           0.248           0.152           0.957       8.918e-04          0.6683
  80       7.277e-01      -2.513e+00       2.094e-01           0.178           0.154           0.972       1.406e-03          0.7294
  81       7.055e-01      -2.512e+00       2.131e-01           0.132           0.155           0.979       1.839e-03          0.7867
  82       6.772e-01      -2.512e+00       2.165e-01           0.091           0.156           0.984       2.165e-03          0.8446
  83       6.444e-01      -2.511e+00       2.190e-01           0.043           0.156           0.987       2.366e-03          0.8488
  84       6.090e-01      -2.511e+00       2.201e-01          -0.000           0.156           0.988       2.435e-03          0.8265
  85       5.731e-01      -2.511e+00       2.198e-01          -0.036           0.156           0.987       2.366e-03          0.8186
